text,predicate_answer,framenet_answer
Studies on the role of COMPOUND in mammalian BIOLOGICAL_PROCESS; preliminary report.,13,2
Determination of GENE and COMPOUND content in the smoke of Italian cigarettes currently on the markt.,7,6
Urinary PHENOTYPE of adrenaline and noradrenaline in response to eserine before and after medullo-adrenalectomy in GENE.,1,3
Results of the study indicated that the complemental use of antacids with each divided dose of steroid is highly effective in reducing the frequency and severity of digestive PHENOTYPE during prednisone and COMPOUND administration.,7,6
Iodination-coupled tetrazonium and ferric ferricyanide reduction stains for differentiating red blood cells GENE fetal or adult GENE.,2,5
The effect of METABOLITE on the oxygen PHENOTYPE of brain tissue.,13,2
Experimental studies on the role of PHENOTYPE chemotherapy for prevention of recurrence and SIDE_EFFECT formation in malignant tumors.,6,4
Chemical transformations of steroids by METABOLITE perfusion; COMPOUND.,8,5
RELATION of vitamin E and GENE to incisor BIOLOGICAL_PROCESS.,3,5
Treatment with METABOLITE of a case of liver cirrhosis associated with PHENOTYPE of the adrenal cortex; syndrome described by Bongiovanni and Eisenmenger.,7,6
Effects of blood serum & human leukocyte extract of PHENOTYPE patients on endothelium in GENE culture.,1,3
Fluorescent MOLE_FUNCTION studies in human SIDE_EFFECT.,11,2
Long-term COMPOUND for SIDE_EFFECT.,6,4
Simplified left transthoracic cervical anastomosis of PHENOTYPE and stomach in the treatment of high and GENE esophageal stenoses caused by caustics.,3,5
Mechanism of PHENOTYPE and accumulation of COMPOUND in Aspergillus niger.,3,5
Three cases of surgical partial plication of the GENE for SIDE_EFFECT.,6,4
Penthrane PHENOTYPE and GENE parenchyma: histologic study on laboratory animals.,9,4
Acute leukosis in a 2-year-old mongoloid with cardiac PHENOTYPE and SIDE_EFFECT of the colon.,3,5
The effects of hadacidin and COMPOUND on hepatic BIOLOGICAL_PROCESS and adenosine triphosphate levels in ethionine-treated rats.,6,4
Quinidine potentiates twitch tension and (at higher concentrations) causes contracture of skeletal muscle whereas the same drug reduces tension PHENOTYPE of GENE.,3,5
Strips of GENE nerve from dorsal roots were immersed in solutions containing COMPOUND cyanide and alpha-dinitrophenol.,2,5
Studies on improved cell preservation. I. On the effect of COMPOUND on erythrocyte BIOLOGICAL_PROCESS. Separation of acid-soluble phosphate and 1st results.,13,2
The action of tetanus toxin on the acetylcholine and GENE contents of the rabbit's GENE.,2,5
Effects of lipids on GENE heart cells in GENE culture.,2,5
Air GENE images in PHENOTYPE.,4,4
The nucleic acid content of GENE and GENE in mammals of different body size.,2,5
The tricuspid and GENE PHENOTYPE in mitral stenosis.,7,6
The bond lengths and angles have been measured and are compared with the dimensions found for GENE thymidylate and METABOLITE.,22,1
"Induction of PHENOTYPE in vitro in hamster kidney tissue by adenovirus 7-SV40 ""GENE"" strain (LLE46).",3,5
The inhibition by acetazoleamide of GENE phosphate-activated GENE in rats.,2,5
Use of intravenous METABOLITE to prevent SIDE_EFFECT.,24,4
Pathogenic activity of COMPOUND in gastric and PHENOTYPE.,3,5
The transmission of left auricular pressure waves to the level of the pulmonary PHENOTYPE in normal dogs & in dogs with PHENOTYPE.,1,3
Results of correction of large GENE wall PHENOTYPE with alloplastic material.,3,5
Sarcoptes PHENOTYPE (Sarcoptes tapiri nov. spec.) in tapirs (Tapirus terrestris GENE.).,1,3
Accumulation of GENE in the gills of Potamon perlatus (M. Edw.) in relation to BIOLOGICAL_PROCESS.,3,5
The participation of ribose derivatives in the conversion of COMPOUND to COMPOUND by extracts of Escherichia coli.,5,3
Late Developments in a Case of Gyrate SIDE_EFFECT of the Choroid and METABOLITE (Fuchs).,3,5
"Control of rhythmic PHENOTYPE of a Neurospora ""clock"" GENE by sugars.",13,2
Latent Monilia & PHENOTYPE in non-pregnant & pregnant women & in FINDINGS.,1,3
Blood-calcium and COMPOUND of the cow in health and PHENOTYPE.,2,5
Effects of COMPOUND on respiration and PHENOTYPE.,13,2
On the mechanism of SIDE_EFFECT. On the specific MOLE_FUNCTION of TMG in E. coli.,1,3
It is proposed that depolarization in response to acetylcholine may be no more than the electrical sign of increased permeability to ions such as COMPOUND and GENE.,8,5
On a case of PHENOTYPE complicated by PHENOTYPE.,18,0
Influence of GENE on growth and viability of transformable GENE streptococci.,13,2
Reduction of GENE cholesterol by COMPOUND dextro-thyroxine.,3,5
Evidence for the existence of an extramitochondrial pathway of METABOLITE synthesis in GENE liver.,3,5
The significance and estimation of GENE PHENOTYPE by strong concentrations of cobalt.,19,0
Further studies on the influence of COMPOUND on GENE activity.,13,2
On the pathogenesis and treatment of SIDE_EFFECT and SIDE_EFFECT in children.,1,3
The question of amino acid requirements for BIOLOGICAL_PROCESS and cell division has been studied in Tetrahymena pyriformis by depriving cells of histidine and COMPOUND at defined stages in the interdivision interval.,1,3
Reactivation of virus with METABOLITE cannot be effected in vitro but is mediated by the host GENE.,2,5
Canicola PHENOTYPE in GENE.,1,3
The causes and avoidance of failure in surgery for chronic PHENOTYPE of the frontoethmo-sphenoid complex of sinuses: with a previously unreported anomaly which produces chronicity and PHENOTYPE.,6,4
Observations comparing the effects of epididymal SIDE_EFFECT at various levels on the mouse testis with those of SIDE_EFFECT.,13,2
The experimental model has many of the features of chronic urinary PHENOTYPE in man and suggests that pyelitis is an important factor in the pathogenesis of PHENOTYPE initiated by retrograde infection.,12,2
Intestinal PHENOTYPE caused by rectal SIDE_EFFECT during brucellosis.,12,2
Enhancement of RNA synthesis in isolated GENE nuclei by METABOLITE.,21,0
Nature of increased GENE beta-globulin content in malignant hypertension and SIDE_EFFECT.,7,6
Neurohormonal mechanisms in emotional PHENOTYPE of BIOLOGICAL_PROCESS.,15,2
